No.,名称,经度(度),纬度(度),高程(米),距离(千米),备注
0,0,104.201771451,30.568207066,514.470,0.00000,路径点0
1,0,104.201820654,30.568192198,514.593,0.00500,
2,0,104.201869856,30.568177331,514.735,0.01000,
3,0,104.201919059,30.568162463,514.848,0.01500,
4,0,104.201968261,30.568147596,514.938,0.02000,
5,0,104.202017464,30.568132728,515.054,0.02500,
6,0,104.202066666,30.568117860,515.167,0.03000,
7,0,104.202115869,30.568102993,515.354,0.03500,
8,0,104.202165071,30.568088125,515.556,0.04000,
9,0,104.202214273,30.568073257,515.762,0.04500,
10,0,104.202263476,30.568058390,515.951,0.05000,
11,0,104.202312678,30.568043522,516.138,0.05500,
12,0,104.202361880,30.568028654,516.309,0.06000,
13,0,104.202411083,30.568013786,516.473,0.06500,
14,0,104.202460285,30.567998919,516.675,0.07000,
15,0,104.202509487,30.567984051,516.869,0.07500,
16,0,104.202558689,30.567969183,517.047,0.08000,
17,0,104.202607892,30.567954315,517.223,0.08500,
18,0,104.202657094,30.567939447,517.398,0.09000,
19,0,104.202706296,30.567924579,517.593,0.09500,
20,0,104.202755498,30.567909712,517.775,0.10000,
21,0,104.202804701,30.567894844,517.933,0.10500,
22,0,104.202853903,30.567879976,518.091,0.11000,
23,0,104.202903105,30.567865108,518.231,0.11500,
24,0,104.202952307,30.567850240,518.406,0.12000,
25,0,104.203001509,30.567835372,518.564,0.12500,
26,0,104.203050711,30.567820504,518.776,0.13000,
27,0,104.203099913,30.567805636,518.945,0.13500,
28,0,104.203149115,30.567790768,518.951,0.14000,
29,0,104.203198318,30.567775900,518.957,0.14500,
30,0,104.203247520,30.567761031,518.963,0.15000,
31,0,104.203296722,30.567746163,518.889,0.15500,
32,0,104.203345924,30.567731295,518.781,0.16000,
33,0,104.203395126,30.567716427,518.695,0.16500,
34,0,104.203444328,30.567701559,518.593,0.17000,
35,0,104.203493530,30.567686691,518.439,0.17500,
36,0,104.203542732,30.567671823,518.285,0.18000,
37,0,104.203591934,30.567656954,518.085,0.18500,
38,0,104.203641135,30.567642086,517.398,0.19000,
39,0,104.203690337,30.567627218,516.548,0.19500,
40,0,104.203739539,30.567612350,515.550,0.20000,
41,0,104.203788741,30.567597481,514.617,0.20500,
42,0,104.203837943,30.567582613,513.621,0.21000,
43,0,104.203887145,30.567567745,512.821,0.21500,
44,0,104.203936347,30.567552876,512.027,0.22000,
45,0,104.203985549,30.567538008,511.809,0.22500,
46,0,104.204034750,30.567523140,511.799,0.23000,
47,0,104.204083952,30.567508271,511.770,0.23500,
48,0,104.204133154,30.567493403,511.723,0.24000,
49,0,104.204182356,30.567478534,511.686,0.24500,
50,0,104.204231557,30.567463666,511.626,0.25000,
51,0,104.204280759,30.567448797,511.544,0.25500,
52,0,104.204329961,30.567433929,511.496,0.26000,
53,0,104.204379163,30.567419060,511.584,0.26500,
54,0,104.204428364,30.567404192,511.634,0.27000,
55,0,104.204477566,30.567389323,511.759,0.27500,
56,0,104.204526768,30.567374455,512.029,0.28000,
57,0,104.204575969,30.567359586,512.296,0.28500,
58,0,104.204625171,30.567344718,512.506,0.29000,
59,0,104.204674373,30.567329849,513.099,0.29500,
60,0,104.204723574,30.567314980,513.796,0.30000,
61,0,104.204772776,30.567300112,514.493,0.30500,
62,0,104.204821977,30.567285243,515.177,0.31000,
63,0,104.204871179,30.567270374,515.857,0.31500,
64,0,104.204920380,30.567255505,516.536,0.32000,
65,0,104.204969582,30.567240637,517.216,0.32500,
66,0,104.205018784,30.567225768,517.641,0.33000,
67,0,104.205067985,30.567210899,518.008,0.33500,
68,0,104.205117186,30.567196030,518.393,0.34000,
69,0,104.205166388,30.567181162,518.713,0.34500,
