No.,名称,经度(度),纬度(度),高程(米),距离(千米),备注
0,0,103.778349738,31.271104159,1256.174,0.00000,路径点0
1,0,103.778662310,31.270483410,1259.517,0.07500,
2,0,103.778974878,31.269862661,1269.685,0.15000,
3,0,103.779287442,31.269241910,1290.252,0.22500,
4,0,103.779600002,31.268621159,1319.977,0.30000,
5,0,103.779912558,31.268000408,1345.030,0.37500,
6,0,103.780225110,31.267379655,1351.268,0.45000,
7,0,103.780537658,31.266758902,1341.588,0.52500,
8,0,103.780850201,31.266138147,1321.850,0.60000,
9,0,103.781162741,31.265517392,1295.801,0.67500,
10,0,103.781475276,31.264896636,1262.349,0.75000,
11,0,103.781787807,31.264275880,1228.837,0.82500,
12,0,103.782100335,31.263655122,1202.265,0.90000,
13,0,103.782412858,31.263034364,1184.229,0.97500,
14,0,103.782725377,31.262413604,1177.831,1.05000,
15,0,103.783037892,31.261792844,1172.624,1.12500,
16,0,103.783350403,31.261172084,1174.560,1.20000,
17,0,103.783662909,31.260551322,1180.486,1.27500,
18,0,103.783975412,31.259930559,1184.723,1.35000,
19,0,103.784287911,31.259309796,1170.840,1.42500,
20,0,103.784572463,31.258744539,1149.803,1.49329,路径点1
