No.,名称,经度(度),纬度(度),高程(米),距离(千米),备注
0,0,103.763699274,31.189329622,949.543,0.00000,路径点0
1,0,103.763543122,31.189346275,951.256,0.01500,
2,0,103.763386969,31.189362929,952.959,0.03000,
3,0,103.763230817,31.189379582,953.129,0.04500,
4,0,103.763074664,31.189396235,952.111,0.06000,
5,0,103.762918512,31.189412888,952.247,0.07500,
6,0,103.762762359,31.189429540,951.941,0.09000,
7,0,103.762606206,31.189446193,951.566,0.10500,
8,0,103.762450053,31.189462845,951.406,0.12000,
9,0,103.762293900,31.189479497,951.677,0.13500,
10,0,103.762137748,31.189496149,951.337,0.15000,
11,0,103.761981595,31.189512801,951.516,0.16500,
12,0,103.761825442,31.189529452,952.470,0.18000,
13,0,103.761669288,31.189546104,953.600,0.19500,
14,0,103.761513135,31.189562755,954.446,0.21000,
15,0,103.761356982,31.189579406,956.063,0.22500,
16,0,103.761200829,31.189596056,958.830,0.24000,
17,0,103.761044676,31.189612707,961.790,0.25500,
18,0,103.760888522,31.189629357,964.024,0.27000,
19,0,103.760732369,31.189646008,963.751,0.28500,
20,0,103.760576215,31.189662658,963.895,0.30000,
21,0,103.760420062,31.189679307,966.603,0.31500,
22,0,103.760263908,31.189695957,972.810,0.33000,
23,0,103.760107755,31.189712606,976.778,0.34500,
24,0,103.759951601,31.189729256,978.696,0.36000,
25,0,103.759795447,31.189745905,978.857,0.37500,
26,0,103.759639293,31.189762553,979.167,0.39000,
27,0,103.759483140,31.189779202,980.019,0.40500,
28,0,103.759326986,31.189795851,980.679,0.42000,
29,0,103.759170832,31.189812499,980.634,0.43500,
30,0,103.759014678,31.189829147,980.938,0.45000,
31,0,103.758858524,31.189845795,981.250,0.46500,
32,0,103.758702370,31.189862443,981.322,0.48000,
33,0,103.758546215,31.189879090,981.631,0.49500,
34,0,103.758390061,31.189895737,981.995,0.51000,
35,0,103.758233907,31.189912385,982.336,0.52500,
36,0,103.758077753,31.189929032,982.833,0.54000,
37,0,103.757921598,31.189945678,983.716,0.55500,
38,0,103.757765444,31.189962325,984.899,0.57000,
39,0,103.757609289,31.189978971,986.206,0.58500,
40,0,103.757453135,31.189995617,987.122,0.60000,
41,0,103.757296980,31.190012263,987.713,0.61500,
42,0,103.757140825,31.190028909,988.304,0.63000,
43,0,103.757058125,31.190037725,988.545,0.63794,路径点1
