No.,名称,经度(度),纬度(度),高程(米),距离(千米),备注
0,0,104.201397093,30.571828825,519.708,0.00000,路径点0
1,0,104.201207838,30.571558940,519.887,0.03500,
2,0,104.201018584,30.571289055,518.957,0.07000,
3,0,104.200829331,30.571019169,514.447,0.10500,
4,0,104.200640079,30.570749284,512.545,0.14000,
5,0,104.200450828,30.570479398,512.449,0.17500,
6,0,104.200261579,30.570209511,512.427,0.21000,
7,0,104.200072330,30.569939625,512.458,0.24500,
8,0,104.199883082,30.569669738,512.751,0.28000,
9,0,104.199693836,30.569399851,512.605,0.31500,
10,0,104.199504590,30.569129963,512.779,0.35000,
11,0,104.199315346,30.568860076,512.919,0.38500,
12,0,104.199126102,30.568590188,511.905,0.42000,
13,0,104.198936860,30.568320299,510.607,0.45500,
14,0,104.198747619,30.568050411,505.260,0.49000,
15,0,104.198558379,30.567780522,499.193,0.52500,
16,0,104.198369139,30.567510633,499.193,0.56000,
17,0,104.198179901,30.567240743,499.193,0.59500,
18,0,104.197990664,30.566970854,499.850,0.63000,
19,0,104.197801428,30.566700964,500.133,0.66500,
20,0,104.197612193,30.566431073,500.393,0.70000,
21,0,104.197422959,30.566161183,500.386,0.73500,
22,0,104.197233726,30.565891292,500.118,0.77000,
23,0,104.197044494,30.565621401,499.914,0.80500,
24,0,104.196855263,30.565351509,499.552,0.84000,
25,0,104.196666034,30.565081618,498.851,0.87500,
26,0,104.196476805,30.564811726,498.029,0.91000,
27,0,104.196311624,30.564576132,497.065,0.94055,路径点1
