No.,名称,经度(度),纬度(度),高程(米),距离(千米),备注
0,0,103.778551112,31.270833130,1260.368,0.00000,路径点0
1,0,103.778751259,31.270568424,1263.487,0.03500,
2,0,103.778951405,31.270303717,1266.605,0.07000,
3,0,103.779151550,31.270039011,1269.723,0.10500,
4,0,103.779351694,31.269774304,1272.842,0.14000,
5,0,103.779551836,31.269509596,1275.960,0.17500,
6,0,103.779751978,31.269244888,1276.940,0.21000,
7,0,103.779952119,31.268980180,1274.999,0.24500,
8,0,103.780152258,31.268715471,1272.032,0.28000,
9,0,103.780352396,31.268450763,1271.699,0.31500,
10,0,103.780552533,31.268186053,1272.318,0.35000,
11,0,103.780752670,31.267921344,1272.938,0.38500,
12,0,103.780952805,31.267656634,1273.558,0.42000,
13,0,103.781152938,31.267391924,1274.178,0.45500,
14,0,103.781353071,31.267127213,1274.797,0.49000,
15,0,103.781553203,31.266862502,1275.417,0.52500,
16,0,103.781753334,31.266597791,1263.142,0.56000,
17,0,103.781953463,31.266333079,1247.920,0.59500,
18,0,103.782153591,31.266068367,1232.697,0.63000,
19,0,103.782353719,31.265803655,1217.847,0.66500,
20,0,103.782553845,31.265538942,1217.293,0.70000,
21,0,103.782753970,31.265274229,1216.740,0.73500,
22,0,103.782954094,31.265009516,1216.186,0.77000,
23,0,103.783154217,31.264744802,1215.633,0.80500,
24,0,103.783354339,31.264480088,1215.079,0.84000,
25,0,103.783554459,31.264215374,1216.118,0.87500,
26,0,103.783754579,31.263950659,1217.250,0.91000,
27,0,103.783954697,31.263685944,1218.382,0.94500,
28,0,103.784154815,31.263421229,1219.514,0.98000,
29,0,103.784354931,31.263156513,1220.645,1.01500,
30,0,103.784555046,31.262891797,1221.777,1.05000,
31,0,103.784755160,31.262627080,1222.909,1.08500,
32,0,103.784955273,31.262362363,1224.040,1.12000,
33,0,103.785155385,31.262097646,1226.291,1.15500,
34,0,103.785355496,31.261832929,1221.382,1.19000,
35,0,103.785555606,31.261568211,1217.692,1.22500,
36,0,103.785755714,31.261303493,1214.003,1.26000,
37,0,103.785955822,31.261038774,1210.313,1.29500,
38,0,103.786155928,31.260774055,1206.623,1.33000,
39,0,103.786356033,31.260509336,1202.933,1.36500,
40,0,103.786556137,31.260244617,1199.244,1.40000,
41,0,103.786756241,31.259979897,1195.554,1.43500,
42,0,103.786956342,31.259715176,1190.725,1.47000,
43,0,103.787156443,31.259450456,1181.533,1.50500,
44,0,103.787356543,31.259185735,1172.341,1.54000,
45,0,103.787556642,31.258921014,1163.149,1.57500,
46,0,103.787756739,31.258656292,1153.957,1.61000,
47,0,103.787956836,31.258391570,1145.252,1.64500,
48,0,103.788156931,31.258126848,1136.907,1.68000,
49,0,103.788357025,31.257862125,1128.562,1.71500,
50,0,103.788557119,31.257597402,1120.217,1.75000,
51,0,103.788757211,31.257332679,1114.494,1.78500,
52,0,103.788957302,31.257067955,1113.909,1.82000,
53,0,103.789157392,31.256803231,1113.323,1.85500,
54,0,103.789357480,31.256538507,1112.738,1.89000,
55,0,103.789557568,31.256273782,1112.153,1.92500,
56,0,103.789757655,31.256009057,1111.568,1.96000,
57,0,103.789957740,31.255744332,1110.982,1.99500,
58,0,103.790157824,31.255479606,1110.397,2.03000,
59,0,103.790357908,31.255214880,1110.851,2.06500,
60,0,103.790557990,31.254950153,1111.103,2.10000,
61,0,103.790758071,31.254685426,1111.524,2.13500,
62,0,103.790958151,31.254420699,1112.156,2.17000,
63,0,103.791158230,31.254155972,1112.789,2.20500,
64,0,103.791358307,31.253891244,1113.421,2.24000,
65,0,103.791558384,31.253626516,1114.053,2.27500,
66,0,103.791758460,31.253361787,1114.685,2.31000,
67,0,103.791958534,31.253097059,1115.317,2.34500,
68,0,103.792158608,31.252832329,1115.950,2.38000,
69,0,103.792358680,31.252567600,1117.235,2.41500,
70,0,103.792558751,31.252302870,1118.957,2.45000,
71,0,103.792758821,31.252038140,1120.679,2.48500,
72,0,103.792958890,31.251773409,1122.402,2.52000,
73,0,103.793158958,31.251508678,1124.124,2.55500,
74,0,103.793359025,31.251243947,1125.599,2.59000,
75,0,103.793559090,31.250979215,1125.264,2.62500,
76,0,103.793759155,31.250714484,1124.929,2.66000,
77,0,103.793959218,31.250449751,1124.594,2.69500,
78,0,103.794159281,31.250185019,1123.321,2.73000,
79,0,103.794359342,31.249920286,1121.700,2.76500,
80,0,103.794559402,31.249655552,1120.079,2.80000,
81,0,103.794759461,31.249390819,1118.459,2.83500,
82,0,103.794959519,31.249126085,1116.838,2.87000,
83,0,103.795159576,31.248861350,1115.217,2.90500,
84,0,103.795359632,31.248596616,1113.850,2.94000,
85,0,103.795559686,31.248331881,1112.700,2.97500,
86,0,103.795759740,31.248067145,1111.550,3.01000,
87,0,103.795959792,31.247802410,1110.336,3.04500,
88,0,103.796159844,31.247537673,1109.641,3.08000,
89,0,103.796359894,31.247272937,1109.771,3.11500,
90,0,103.796559943,31.247008200,1109.900,3.15000,
91,0,103.796759991,31.246743463,1110.030,3.18500,
92,0,103.796960038,31.246478726,1110.159,3.22000,
93,0,103.797160084,31.246213988,1110.289,3.25500,
94,0,103.797360129,31.245949250,1110.418,3.29000,
95,0,103.797560172,31.245684511,1110.548,3.32500,
96,0,103.797760215,31.245419773,1105.145,3.36000,
97,0,103.797960256,31.245155034,1099.688,3.39500,
98,0,103.798160297,31.244890294,1094.230,3.43000,
99,0,103.798360336,31.244625554,1088.772,3.46500,
100,0,103.798560374,31.244360814,1083.314,3.50000,
101,0,103.798760411,31.244096074,1077.856,3.53500,
102,0,103.798960447,31.243831333,1072.755,3.57000,
103,0,103.799160482,31.243566591,1067.873,3.60500,
104,0,103.799360516,31.243301850,1065.524,3.64000,
105,0,103.799560548,31.243037108,1081.732,3.67500,
106,0,103.799760580,31.242772366,1097.941,3.71000,
107,0,103.799960610,31.242507623,1114.149,3.74500,
108,0,103.800160640,31.242242880,1130.358,3.78000,
109,0,103.800360668,31.241978137,1144.511,3.81500,
110,0,103.800560695,31.241713393,1156.459,3.85000,
111,0,103.800760721,31.241448650,1168.408,3.88500,
112,0,103.800960746,31.241183905,1180.356,3.92000,
113,0,103.801160770,31.240919161,1193.904,3.95500,
114,0,103.801360793,31.240654416,1212.250,3.99000,
115,0,103.801560814,31.240389670,1230.596,4.02500,
116,0,103.801760835,31.240124925,1246.352,4.06000,
117,0,103.801960854,31.239860179,1261.915,4.09500,
118,0,103.802160872,31.239595432,1277.479,4.13000,
119,0,103.802360890,31.239330686,1293.042,4.16500,
120,0,103.802560906,31.239065939,1308.605,4.20000,
121,0,103.802760921,31.238801191,1324.168,4.23500,
122,0,103.802960935,31.238536443,1334.893,4.27000,
123,0,103.803160948,31.238271695,1337.723,4.30500,
124,0,103.803360959,31.238006947,1340.552,4.34000,
125,0,103.803560970,31.237742198,1343.382,4.37500,
126,0,103.803760980,31.237477449,1346.211,4.41000,
