No.,名称,经度(度),纬度(度),高程(米),距离(千米),备注
0,0,104.201751072,30.568540010,512.817,0.00000,路径点0
1,0,104.201595521,30.568254462,514.246,0.03500,
2,0,104.201439970,30.567968913,515.548,0.07000,
3,0,104.201284420,30.567683364,515.467,0.10500,
4,0,104.201128872,30.567397815,514.404,0.14000,
5,0,104.200973324,30.567112266,513.112,0.17500,
6,0,104.200817777,30.566826717,512.833,0.21000,
7,0,104.200662231,30.566541167,512.937,0.24500,
8,0,104.200506686,30.566255618,512.737,0.28000,
9,0,104.200351141,30.565970068,512.240,0.31500,
10,0,104.200195598,30.565684517,511.194,0.35000,
11,0,104.200040056,30.565398967,508.410,0.38500,
12,0,104.199884514,30.565113417,507.728,0.42000,
13,0,104.199728974,30.564827866,506.268,0.45500,
14,0,104.199573434,30.564542315,503.045,0.49000,
15,0,104.199417895,30.564256764,500.846,0.52500,
16,0,104.199262357,30.563971212,499.737,0.56000,
17,0,104.199106820,30.563685661,498.607,0.59500,
18,0,104.198951284,30.563400109,497.111,0.63000,
19,0,104.198875744,30.563261423,496.332,0.64700,路径点1
