No.,名称,经度(度),纬度(度),高程(米),距离(千米),备注
0,0,104.270447763,30.546654311,516.178,0.00000,路径点0
1,0,104.270202843,30.546420391,516.156,0.03500,
2,0,104.269957924,30.546186470,514.037,0.07000,
3,0,104.269713006,30.545952549,512.207,0.10500,
4,0,104.269468089,30.545718628,516.875,0.14000,
5,0,104.269223174,30.545484706,518.483,0.17500,
6,0,104.268978259,30.545250783,518.345,0.21000,
7,0,104.268733346,30.545016860,518.288,0.24500,
8,0,104.268488434,30.544782936,518.670,0.28000,
9,0,104.268243523,30.544549013,520.781,0.31500,
10,0,104.267998613,30.544315088,521.562,0.35000,
11,0,104.267753705,30.544081163,521.518,0.38500,
12,0,104.267508797,30.543847238,522.478,0.42000,
13,0,104.267263891,30.543613312,523.719,0.45500,
14,0,104.267100367,30.543457118,522.311,0.47837,路径点1
