No.,名称,经度(度),纬度(度),高程(米),距离(千米),备注
0,0,104.334567467,30.527768005,630.788,0.00000,路径点0
1,0,104.334598162,30.527731568,631.010,0.00500,
2,0,104.334628857,30.527695132,630.872,0.01000,
3,0,104.334659553,30.527658695,630.635,0.01500,
4,0,104.334690248,30.527622258,629.944,0.02000,
5,0,104.334720943,30.527585822,629.234,0.02500,
6,0,104.334751639,30.527549385,628.484,0.03000,
7,0,104.334782334,30.527512949,627.474,0.03500,
8,0,104.334813029,30.527476512,626.413,0.04000,
9,0,104.334843724,30.527440075,625.355,0.04500,
10,0,104.334874419,30.527403639,624.329,0.05000,
11,0,104.334905115,30.527367202,623.352,0.05500,
12,0,104.334935810,30.527330765,622.995,0.06000,
13,0,104.334966505,30.527294329,623.000,0.06500,
14,0,104.334997200,30.527257892,623.190,0.07000,
15,0,104.335027895,30.527221455,623.457,0.07500,
16,0,104.335058590,30.527185019,623.937,0.08000,
17,0,104.335089285,30.527148582,624.413,0.08500,
18,0,104.335119980,30.527112145,625.000,0.09000,
19,0,104.335150675,30.527075709,625.623,0.09500,
20,0,104.335181370,30.527039272,625.765,0.10000,
21,0,104.335212065,30.527002835,625.863,0.10500,
22,0,104.335242760,30.526966398,625.911,0.11000,
23,0,104.335273455,30.526929962,625.945,0.11500,
24,0,104.335304150,30.526893525,625.805,0.12000,
25,0,104.335313121,30.526882876,625.762,0.12146,路径点1
