No.,名称,经度(度),纬度(度),高程(米),距离(千米),备注
0,0,104.334428523,30.529309925,666.688,0.00000,路径点0
1,0,104.332924020,30.529676185,636.167,0.15000,
2,0,104.331419505,30.530042427,624.210,0.30000,
3,0,104.329914979,30.530408652,626.835,0.45000,
4,0,104.328410441,30.530774860,652.020,0.60000,
5,0,104.326905892,30.531141050,668.615,0.75000,
6,0,104.325401332,30.531507223,677.659,0.90000,
7,0,104.323896761,30.531873378,685.563,1.05000,
8,0,104.322392178,30.532239516,683.019,1.20000,
9,0,104.320887584,30.532605636,666.769,1.35000,
10,0,104.319382978,30.532971740,685.685,1.50000,
11,0,104.317878362,30.533337825,711.323,1.65000,
12,0,104.316373734,30.533703894,751.395,1.80000,
13,0,104.314869094,30.534069945,766.666,1.95000,
14,0,104.313364444,30.534435978,768.398,2.10000,
15,0,104.311859782,30.534801994,789.830,2.25000,
16,0,104.310355109,30.535167993,836.586,2.40000,
17,0,104.308850424,30.535533975,861.950,2.55000,
18,0,104.307345729,30.535899939,854.985,2.70000,
19,0,104.305841022,30.536265885,850.306,2.85000,
20,0,104.304336303,30.536631815,836.917,3.00000,
21,0,104.302831574,30.536997726,808.103,3.15000,
22,0,104.301326833,30.537363621,780.083,3.30000,
23,0,104.299822081,30.537729498,762.602,3.45000,
24,0,104.298317317,30.538095357,746.046,3.60000,
25,0,104.296812542,30.538461200,724.346,3.75000,
26,0,104.295307756,30.538827024,704.754,3.90000,
27,0,104.293802959,30.539192832,694.638,4.05000,
28,0,104.292298151,30.539558622,677.815,4.20000,
29,0,104.290793331,30.539924394,644.347,4.35000,
30,0,104.289288500,30.540290149,614.237,4.50000,
31,0,104.287783657,30.540655887,601.361,4.65000,
32,0,104.286278804,30.541021608,571.591,4.80000,
33,0,104.284773939,30.541387310,601.246,4.95000,
34,0,104.283269063,30.541752996,635.200,5.10000,
35,0,104.281764175,30.542118664,607.080,5.25000,
36,0,104.280259277,30.542484315,581.482,5.40000,
37,0,104.278754367,30.542849948,560.385,5.55000,
38,0,104.277249446,30.543215564,536.333,5.70000,
39,0,104.275744514,30.543581162,530.234,5.85000,
40,0,104.274239570,30.543946744,531.016,6.00000,
41,0,104.272734615,30.544312307,523.382,6.15000,
42,0,104.271600459,30.544587788,519.114,6.26304,路径点1
