No.,名称,经度(度),纬度(度),高程(米),距离(千米),备注
0,0,104.276004770,30.546403982,582.761,0.00000,路径点0
1,0,104.275956343,30.546420623,582.023,0.00500,
2,0,104.275907915,30.546437263,581.311,0.01000,
3,0,104.275859488,30.546453903,580.601,0.01500,
4,0,104.275811061,30.546470543,579.730,0.02000,
5,0,104.275762633,30.546487184,578.968,0.02500,
6,0,104.275714206,30.546503824,578.274,0.03000,
7,0,104.275665779,30.546520464,578.088,0.03500,
8,0,104.275617351,30.546537104,578.138,0.04000,
9,0,104.275568924,30.546553744,578.357,0.04500,
10,0,104.275520496,30.546570384,578.688,0.05000,
11,0,104.275472069,30.546587024,579.690,0.05500,
12,0,104.275423641,30.546603664,580.708,0.06000,
13,0,104.275375214,30.546620304,581.733,0.06500,
14,0,104.275326787,30.546636944,582.769,0.07000,
15,0,104.275278359,30.546653584,583.804,0.07500,
16,0,104.275229931,30.546670224,584.858,0.08000,
17,0,104.275181504,30.546686864,585.830,0.08500,
18,0,104.275133076,30.546703504,586.282,0.09000,
19,0,104.275084649,30.546720144,586.735,0.09500,
20,0,104.275036221,30.546736784,587.116,0.10000,
21,0,104.274987794,30.546753424,586.930,0.10500,
22,0,104.274939366,30.546770064,586.477,0.11000,
23,0,104.274890938,30.546786704,585.930,0.11500,
24,0,104.274842511,30.546803343,585.389,0.12000,
25,0,104.274794083,30.546819983,584.746,0.12500,
26,0,104.274745655,30.546836623,584.087,0.13000,
27,0,104.274697228,30.546853263,583.418,0.13500,
28,0,104.274648800,30.546869903,582.856,0.14000,
29,0,104.274600372,30.546886542,582.392,0.14500,
30,0,104.274551944,30.546903182,581.840,0.15000,
31,0,104.274503517,30.546919822,581.285,0.15500,
32,0,104.274455089,30.546936461,581.003,0.16000,
33,0,104.274406661,30.546953101,580.730,0.16500,
34,0,104.274358233,30.546969741,580.457,0.17000,
35,0,104.274309805,30.546986380,580.042,0.17500,
36,0,104.274261378,30.547003020,579.466,0.18000,
37,0,104.274212950,30.547019660,578.851,0.18500,
38,0,104.274164522,30.547036299,578.199,0.19000,
39,0,104.274116094,30.547052939,577.513,0.19500,
40,0,104.274067666,30.547069578,576.832,0.20000,
41,0,104.274019238,30.547086218,576.126,0.20500,
42,0,104.273970810,30.547102857,575.439,0.21000,
43,0,104.273922382,30.547119497,574.802,0.21500,
44,0,104.273873954,30.547136136,574.264,0.22000,
45,0,104.273825526,30.547152776,573.718,0.22500,
46,0,104.273777098,30.547169415,572.701,0.23000,
47,0,104.273740985,30.547181823,571.851,0.23373,路径点1
